CheckpointID,SimulationID,Zone,Clock.Today,Maize.Phenology.CurrentStageName,Maize.AboveGround.Wt,Maize.AboveGround.N,Yield,Maize.Grain.Wt,Maize.Grain.Size,Maize.Grain.NumberFunction,Maize.Grain.Total.Wt,Maize.Grain.N,Maize.Total.Wt,year,rain,source_table
1,1,Field,1991-08-28 00:00:00,HarvestRipe,1937.8947270813262,15.312427344765126,10570.709595769493,1057.0709595769492,0.25810898512654523,4095.4442521971496,1057.0709595769492,11.985345096820762,2024.8548028778794,1991,0.009999999776482582,Report
1,1,Field,1992-10-06 00:00:00,HarvestRipe,1784.5115720652734,11.472789196447101,6957.870921606571,695.787092160657,0.22000938461540132,3162.533695446507,695.787092160657,8.08291257549502,1890.4085499952273,1992,0.4399999976158142,Report
1,1,Field,1993-10-24 00:00:00,HarvestRipe,1450.8103083422643,8.489292431733444,6177.983261062528,617.7983261062528,0.20698891266073988,2984.6928425525866,617.7983261062528,5.742883640084788,1516.7816331309987,1993,0.0,Report
1,1,Field,1995-09-20 00:00:00,HarvestRipe,1539.9665399222326,8.71151043421378,6359.601917507257,635.9601917507257,0.1446405144424706,4396.833032584884,635.9601917507257,5.715382024027076,1631.8526606127352,1995,0.36000001430511475,Report
1,1,Field,1996-10-07 00:00:00,HarvestRipe,1647.1273056303626,9.032256974739202,6052.051178479673,605.2051178479672,0.16164040391559745,3744.145047818506,605.2051178479672,5.5023922809376415,1727.0789554301325,1996,0.14000000059604645,Report
1,1,Field,1997-09-20 00:00:00,HarvestRipe,1378.8633629948772,10.031720096024094,6294.677818830988,629.4677818830988,0.14834880762738575,4243.160372843447,629.4677818830988,7.079437153217198,1487.7510828289248,1997,0.009999999776482582,Report
1,1,Field,1998-09-13 00:00:00,HarvestRipe,1629.4037310990864,9.724998721837906,7339.300406658887,733.9300406658888,0.17745281431710488,4135.916601211911,733.9300406658888,6.692462922186661,1714.6393194554616,1998,11.119999885559082,Report
1,1,Field,1999-08-25 00:00:00,HarvestRipe,1662.0258291799894,10.62886806744233,6172.588150554334,617.2588150554334,0.19959879173447834,3092.497753576377,617.2588150554334,6.067666674188981,1742.3642513432626,1999,0.46000000834465027,Report
1,1,Field,2000-08-22 00:00:00,HarvestRipe,1711.8977853641134,10.977413361557721,6582.6082232529025,658.2608223252903,0.18819765370805447,3497.710037057269,658.2608223252903,6.963225757889671,1784.7588832342678,2000,6.559999942779541,Report
1,1,Field,2001-09-12 00:00:00,HarvestRipe,1788.3668726301028,10.266313554728338,8247.622554096919,824.7622554096919,0.20496309495330362,4023.954925141992,824.7622554096919,7.239560668090409,1888.9223074367735,2001,0.03999999910593033,Report
1,1,Field,2004-09-16 00:00:00,HarvestRipe,2496.2651289437963,23.845134171617374,11331.100898627328,1133.1100898627328,0.2983997724165346,3797.2887200497953,1133.1100898627328,14.905551087332283,2617.581075475834,2004,0.0,Report
1,1,Field,2005-08-22 00:00:00,HarvestRipe,1237.8824021521423,13.689732158813609,7110.963302567719,711.0963302567719,0.3028102466810367,2348.3232091739646,711.0963302567719,9.355550113382414,1268.0222975389786,2005,0.029999999329447746,Report
