SimulationName,SimulationID,Amount,CheckpointID,CheckpointName,Clock.Today,CultivarName,Experiment,Maize.AboveGround.N,Maize.AboveGround.Wt,Maize.Grain.N,Maize.Grain.NumberFunction,Maize.Grain.Size,Maize.Grain.Total.Wt,Maize.Grain.Wt,Maize.Phenology.CurrentStageName,Maize.Total.Wt,Yield,Zone
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1991-05-04,B_110,Experiment,7.365,993.945,5.538,3640.643,0.152,552.117,552.117,HarvestRipe,1059.597,5521.169,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1992-03-21,B_110,Experiment,0.527,75.642,0.386,111.535,0.294,32.813,32.813,HarvestRipe,77.400,328.134,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1993-02-27,B_110,Experiment,2.253,332.178,1.561,2098.008,0.073,153.686,153.686,HarvestRipe,365.459,1536.864,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1994-02-25,B_110,Experiment,1.082,160.077,0.813,432.645,0.208,90.087,90.087,HarvestRipe,162.592,900.870,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1995-03-16,B_110,Experiment,4.849,677.026,3.573,2928.273,0.125,365.684,365.684,HarvestRipe,733.380,3656.845,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1996-02-25,B_110,Experiment,2.081,299.758,1.520,1868.005,0.096,179.371,179.371,HarvestRipe,314.881,1793.713,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1997-03-17,B_110,Experiment,4.054,557.272,3.047,3675.221,0.088,322.596,322.596,HarvestRipe,609.383,3225.957,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1998-02-18,B_110,Experiment,1.203,188.866,0.861,1536.464,0.064,98.187,98.187,HarvestRipe,198.734,981.871,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,1999-03-20,B_110,Experiment,4.948,660.243,3.845,3744.813,0.115,430.362,430.362,HarvestRipe,702.777,4303.618,Field
ExperimentAmount0CultivarNameB_110,1,0,1,Current,2000-03-16,B_110,Experiment,2.854,417.205,2.103,2604.854,0.093,242.476,242.476,HarvestRipe,443.919,2424.760,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1991-05-28,Dekalb_XL82,Experiment,7.374,1011.663,5.185,2951.584,0.152,449.054,449.054,HarvestRipe,1106.379,4490.542,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1992-04-09,Dekalb_XL82,Experiment,0.506,69.177,0.328,80.224,0.301,24.186,24.186,HarvestRipe,71.535,241.860,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1993-03-16,Dekalb_XL82,Experiment,1.526,241.609,0.951,874.511,0.109,95.138,95.138,HarvestRipe,267.561,951.382,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1994-03-15,Dekalb_XL82,Experiment,1.066,142.808,0.838,570.755,0.151,86.201,86.201,HarvestRipe,146.728,862.010,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1995-04-04,Dekalb_XL82,Experiment,4.218,660.012,2.592,2449.154,0.102,249.455,249.455,HarvestRipe,739.898,2494.547,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1996-03-15,Dekalb_XL82,Experiment,1.937,306.600,1.410,942.323,0.161,151.937,151.937,HarvestRipe,319.982,1519.370,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1997-04-05,Dekalb_XL82,Experiment,3.451,513.033,2.285,1963.091,0.111,218.073,218.073,HarvestRipe,573.785,2180.733,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1998-03-06,Dekalb_XL82,Experiment,1.109,163.494,0.809,915.376,0.094,86.203,86.203,HarvestRipe,174.282,862.034,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,1999-04-10,Dekalb_XL82,Experiment,5.066,791.184,3.285,2352.522,0.122,288.116,288.116,HarvestRipe,868.652,2881.160,Field
ExperimentAmount0CultivarNameDekalb_XL82,6,0,1,Current,2000-04-05,Dekalb_XL82,Experiment,1.294,199.271,0.882,1006.664,0.101,101.333,101.333,HarvestRipe,212.133,1013.328,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1991-04-25,Melkassa,Experiment,7.133,1071.775,5.276,2068.806,0.247,510.926,510.926,HarvestRipe,1173.009,5109.260,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1992-03-13,Melkassa,Experiment,0.486,72.178,0.326,95.875,0.328,31.451,31.451,HarvestRipe,74.503,314.511,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1993-02-19,Melkassa,Experiment,1.637,255.042,1.074,808.712,0.134,108.654,108.654,HarvestRipe,286.334,1086.542,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1994-02-16,Melkassa,Experiment,0.710,106.530,0.480,416.301,0.125,51.909,51.909,HarvestRipe,110.374,519.087,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1995-03-08,Melkassa,Experiment,4.684,647.543,3.222,1627.726,0.186,303.060,303.060,HarvestRipe,728.301,3030.601,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1996-02-16,Melkassa,Experiment,1.907,312.142,1.180,689.821,0.181,124.788,124.788,HarvestRipe,334.639,1247.877,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1997-03-08,Melkassa,Experiment,4.118,535.129,2.890,1559.482,0.170,264.350,264.350,HarvestRipe,609.990,2643.496,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1998-02-10,Melkassa,Experiment,1.146,171.893,0.844,1155.849,0.084,96.816,96.816,HarvestRipe,185.578,968.164,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,1999-03-15,Melkassa,Experiment,5.162,713.076,3.492,1796.579,0.168,301.583,301.583,HarvestRipe,792.009,3015.831,Field
ExperimentAmount0CultivarNameMelkassa,3,0,1,Current,2000-03-11,Melkassa,Experiment,1.551,272.662,0.913,1177.915,0.089,104.761,104.761,HarvestRipe,297.162,1047.614,Field
ExperimentAmount0CultivarNamePioneer_34K77,7,0,1,Current,1991-04-26,Pioneer_34K77,Experiment,7.134,1076.279,5.005,3728.800,0.152,565.755,565.755,HarvestRipe,1183.514,5657.552,Field
